Station  Lat(+N,deg)  Lon(+E,deg)  E Displacement  N Displacement  V Displacement  Sigma E  Sigma N  Sigma U 
SPS1      -23.4792      -47.4168      13.21475619      -42.93454662      -5.10506581      0.74574194      0.72487097      3.07074194
CONS      -35.331      -72.4121      4.07672251      2.42890582      3.67197184      0.69403226      0.80351613      2.8836129
MTCO      -10.8039      -55.4563      -12.03892832      36.32790647      -2.35205475      0.80867742      0.71690323      3.26780645
UNSA      -24.7275      -65.4076      5.26481295      13.99961389      -4.73613355      1.42964516      1.1033871      5.54587097
MZAR      -33.1951      -68.467      3.41376641      -49.73826188      -6.67780942      0.79061538      0.90538462      3.34503846
UYRV      -31.7724      -54.6881      5.42165803      -25.87929745      -3.46197966      0.84451613      0.91858065      3.76516129
PATH      -20.8208      -70.1527      -96.55652622      -69.37588659      -9.11727751      0.83680645      0.784      3.72374194
CHEP      9.1706      -79.1045      -43.08595678      -29.50824151      2.3639831      0.90745      0.7676      3.5933
TTSF      10.2767      -61.4655      9.9888795      -32.90396218      4.1422664      0.79677419      0.68351613      2.99532258
QUEM      -0.2371      -78.4973      12.87012387      39.39615998      3.14004345      2.04977273      1.62313636      8.03918182
IGM1      -34.5722      -58.4393      -3.87479973      15.55844456      -3.84520655      0.78848387      0.89312903      3.59948387
SRLP      -36.6216      -64.2804      12.63473941      -4.44697015      4.65882449      0.75948387      0.88122581      3.29570968
CN41      8.9435      -68.0415      7.59350504      -18.77381305      6.91656286      0.93451613      0.77696774      3.95874194
CAEP      -25.9569      -60.6217      3.61563759      -41.88371406      -2.49876127      0.76446667      0.7878      3.3215
UAPE      -20.243      -70.1413      -34.80063402      -22.8295553      -3.98204462      0.90632258      0.81919355      3.78787097
SJRP      -20.7855      -49.36      -4.84445273      10.54011969      -7.52763548      0.88825      0.80575      3.585
UYPA      -32.2912      -58.0672      2.47003056      -14.01505289      -4.96903504      0.79116129      0.89503226      3.45832258
KOUG      5.0985      -52.6398      5.6306439      -19.23804137      -5.90006566      0.82629032      0.73080645      3.10854839
SJSP      -23.2071      -45.8617      7.08674723      -30.84110718      -5.9479262      0.92751724      0.85713793      4.65065517
TAM3      -27.5938      -70.2346      -53.08831478      -52.66966817      -3.90074996      0.9236129      0.90419355      4.7616129
AMUA      -3.0918      -60.0182      5.66170692      -20.9174542      -32.06349717      0.87248387      0.78029032      3.40764516
RECO      -29.1464      -59.6644      6.63596425      -30.5168532      -11.38747009      0.72267742      0.78241935      3.05912903
CRZL      -29.1016      -71.4097      -28.35522871      -29.86095231      2.68041739      0.8326129      0.86296774      3.53209677
CN28      8.6251      -79.0337      -3.09363678      -3.94896201      3.64084082      0.87387097      0.73712903      3.49154839
ABRA      -22.722      -65.6973      -10.86324794      -15.87531934      -2.00090151      0.78377419      0.74890323      3.24406452
RSAL      -29.7894      -55.7688      5.2924823      -23.8849548      -6.76021643      0.71154839      0.7816129      2.96858065
PAZU      -26.1479      -70.5987      -80.15796186      -51.96360059      4.85247194      0.92735484      0.96251613      4.41758065
SPFE      -20.2629      -50.2287      6.18354904      -25.43915531      -8.4742555      0.753      0.70674194      3.10667742
LBOA      2.8338      -60.6946      -15.81845112      45.22458112      -38.90890333      3.668      2.384      12.302
EESC      -22.0049      -47.8992      5.47952345      -20.1598803      -5.95181461      0.79035484      0.74370968      3.37203226
MGUE      -35.7774      -69.3979      23.81257957      -25.50819645      -1.17049651      0.67164516      0.80016129      2.79345161
MTLE      -15.5538      -54.2825      13.92962609      -49.99140042      -14.18174637      0.7644      0.69766667      3.10033333
CN39      10.2065      -70.5237      3.11222464      1.97165484      -4.63644818      0.82458065      0.69896774      3.12887097
SCAQ      -26.3938      -48.7374      8.37276107      -30.86843993      -4.62253777      0.79935484      0.80893548      3.43658065
PICR      -10.4302      -45.1732      13.3290068      -35.63056485      -2.99297153      0.90625806      0.82135484      3.56332258
VIMA      -32.42      -63.2415      6.05134601      -27.742132      -8.99097122      0.77887097      0.8376129      3.43054839
UYAR      -30.4117      -56.4907      6.30372192      -34.58993966      -6.75481321      0.85537931      0.92965517      3.83331034
IMPZ      -5.4918      -47.4972      -8.62691959      16.89203133      -2.71413279      0.79506452      0.72603226      3.1713871
UYSJ      -34.3237      -56.7091      7.0118474      -33.55163498      -2.55608526      0.80722581      0.93577419      3.57990323
KOUR      5.2522      -52.806      -5.13176915      11.08844541      -11.0575453      1.06283871      0.88577419      4.21780645
PNAT      -51.6792      -72.5036      -23.497876      -33.22239489      -3.45914649      0.65174194      0.93996774      2.73977419
MTG1      -15.8753      -52.3121      15.26241298      -55.0861739      1.52260979      0.91222222      0.79792593      4.78348148
UYLA      -34.3628      -55.2488      7.55849346      -34.06616198      -0.78900221      0.82022581      0.94583871      3.65880645
VMAG      9.2867      -74.8473      -4.56666728      -7.14936517      -1.44772291      0.79064516      0.6643871      2.94003226
UBE1      -18.8895      -48.317      -21.47107525      56.20964657      7.90077387      1.941      1.5655      9.08583333
MZAE      -33.2548      -68.1501      6.40708472      11.95923171      -0.3503382      1.09832258      1.16132258      5.14748387
PPTE      -22.1199      -51.4085      -3.39352122      16.87768464      -5.12133758      0.91006452      0.85745161      4.03006452
MSP1      -22.6216      -55.6089      11.82512869      -48.11097912      -10.55275555      0.714      0.71071429      2.92325
AGGO      -34.8737      -58.1399      8.81756941      -41.13553871      -5.10324697      0.74074194      0.82770968      3.19283871
RGDG      -53.7858      -67.7515      -8.67925452      -28.43550875      1.81644173      0.64264516      0.92183871      2.72822581
FUTF      -43.1905      -71.8484      4.01404868      -32.30112144      8.05090161      0.90337931      1.23227586      4.10282759
LPIU      -5.1699      -80.6393      -139.33363406      26.20450162      -2.16484411      2.13258333      1.64741667      7.78408333
